Time(s),Type,X,Y,Z,Magnitude
0.101,GYRO,-0.026624,0.054313,0.164004,0.174803
0.102,GYRO,-0.021299,0.054313,0.159744,0.170064
0.104,ACCL,-9.741007,-1.170264,-0.419664,9.820023
0.104,GYRO,-0.023429,0.054313,0.154420,0.165361
0.105,GYRO,-0.021299,0.055378,0.154420,0.165426
0.106,GYRO,-0.021299,0.059638,0.153355,0.165916
0.107,GYRO,-0.020234,0.057508,0.150160,0.162063
0.108,ACCL,-9.762590,-1.163070,-0.369305,9.838561
0.108,GYRO,-0.014909,0.057508,0.150160,0.161485
0.110,GYRO,-0.012780,0.061768,0.146965,0.159929
0.111,GYRO,-0.010650,0.059638,0.144835,0.156994
0.112,GYRO,-0.009585,0.058573,0.144835,0.156524
0.113,ACCL,-9.764988,-1.182254,-0.326139,9.841701
0.113,GYRO,-0.011715,0.061768,0.142705,0.155940
0.115,GYRO,-0.011715,0.061768,0.138445,0.152051
0.116,GYRO,-0.007455,0.057508,0.136315,0.148137
0.117,GYRO,-0.006390,0.057508,0.134185,0.146129
0.118,ACCL,-9.760192,-1.225420,-0.290168,9.841097
0.118,GYRO,0.001065,0.056443,0.133120,0.144596
0.120,GYRO,0.000000,0.057508,0.133120,0.145011
0.121,GYRO,0.000000,0.056443,0.124601,0.136789
0.122,GYRO,0.000000,0.055378,0.120341,0.132471
0.123,ACCL,-9.776978,-1.299760,-0.294964,9.867405
0.123,GYRO,-0.002130,0.057508,0.120341,0.133393
0.125,GYRO,-0.004260,0.057508,0.112886,0.126762
0.126,GYRO,-0.002130,0.059638,0.108626,0.123939
0.127,GYRO,0.000000,0.057508,0.105431,0.120096
0.128,ACCL,-9.764988,-1.213429,-0.395683,9.848044
0.128,GYRO,-0.002130,0.054313,0.103301,0.116729
0.129,GYRO,-0.001065,0.054313,0.104366,0.117658
0.131,GYRO,-0.001065,0.059638,0.104366,0.120209
0.132,GYRO,0.001065,0.062833,0.097977,0.116398
0.133,ACCL,-9.755396,-1.167866,-0.364508,9.831812
0.133,GYRO,0.005325,0.058573,0.102236,0.117947
0.134,GYRO,0.012780,0.060703,0.095847,0.114170
0.136,GYRO,0.013845,0.061768,0.089457,0.109588
0.137,GYRO,0.015974,0.061768,0.091587,0.111618
0.138,ACCL,-9.796163,-1.239808,-0.472422,9.885602
0.138,GYRO,0.020234,0.059638,0.094782,0.113797
0.139,GYRO,0.028754,0.063898,0.090522,0.114472
0.141,GYRO,0.033014,0.064963,0.082002,0.109701
0.142,GYRO,0.031949,0.066028,0.083067,0.110818
0.143,ACCL,-9.925659,-1.594724,-0.896882,10.092882
0.143,GYRO,0.033014,0.069223,0.084132,0.113841
0.144,GYRO,0.036209,0.077742,0.080937,0.117923
0.145,GYRO,0.039404,0.075612,0.072417,0.111867
0.147,GYRO,0.047923,0.075612,0.060703,0.108161
0.148,ACCL,-9.983213,-1.937650,-1.247002,10.245685
0.148,GYRO,0.052183,0.080937,0.058573,0.112715
0.149,GYRO,0.053248,0.088392,0.056443,0.117619
0.150,GYRO,0.061768,0.095847,0.056443,0.127231
0.152,GYRO,0.074547,0.099042,0.051118,0.134088
0.153,ACCL,-10.000000,-1.976019,-1.335731,10.280507
0.153,GYRO,0.076677,0.104366,0.039404,0.135368
0.154,GYRO,0.080937,0.105431,0.035144,0.137483
0.155,GYRO,0.094782,0.109691,0.039404,0.150228
